year,college_code,college_name,branch_code,branch_name,college_status,stage,level,category,gender,cutoff_rank,percentile
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,OPEN,All,40678,77.8495773
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,SC,All,55830,68.2985361
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,ST,All,86718,43.3167495
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,VJ,All,45691,74.5106403
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,NT1,All,41586,77.0666918
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,NT2,All,51711,70.9263207
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,NT3,All,49334,72.5765063
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,OBC,All,46967,74.0962113
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,OPEN,Female,30535,83.4045178
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,SC,Female,50420,71.6451268
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,ST,Female,79098,50.9996691
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,VJ,Female,40679,77.8495773
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,NT2,Female,72814,55.8902921
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,OBC,Female,41709,77.0666918
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,DEF_OPEN,All,88218,42.7946749
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,TFWS,All,19635,89.407761
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,DEF_OBC,All,98060,32.4992712
2022,1002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,EWS,All,52672,70.2135829
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,OPEN,All,6412,96.4453291
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,SC,All,9920,94.6469248
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,ST,All,41139,77.1458362
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,VJ,All,17056,90.8078665
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,NT1,All,7766,95.7384206
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,NT2,All,9524,94.8196814
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,NT3,All,10818,94.1471246
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,OBC,All,6904,96.1905225
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,OPEN,Female,4603,97.3751017
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,SC,Female,8998,95.1073753
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,ST,Female,32400,82.424443
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,VJ,Female,15893,91.4761117
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,NT1,Female,7378,95.95134
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,NT2,Female,14019,92.4735769
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,OBC,Female,6218,96.5320687
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,PWD_OPEN,All,79110,50.9996691
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,DEF_OPEN,All,15876,91.4761117
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,TFWS,All,4763,97.3134328
2022,1002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,EWS,All,7872,95.7059576
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,OPEN,All,8456,95.3393686
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,SC,All,13932,92.5142196
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,ST,All,44445,75.4846987
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,VJ,All,16510,91.1038771
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,NT1,All,9228,94.9538024
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,NT2,All,9942,94.6205981
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,NT3,All,20505,88.9823699
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,OBC,All,8735,95.2545256
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,OPEN,Female,8400,95.3875689
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,SC,Female,14435,92.2302228
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,ST,Female,31172,83.1650789
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,NT1,Female,21744,88.2761636
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,NT2,Female,17754,90.4382847
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,OBC,Female,9179,94.9790794
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,PWD_OPEN,All,80636,49.0525702
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,DEF_OPEN,All,24544,86.8356112
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,TFWS,All,7435,95.9209717
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,DEF_OBC,All,28236,84.8614274
2022,1002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,EWS,All,9683,94.7015776
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,OPEN,All,26610,85.6827453
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,SC,All,35923,80.5336015
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,ST,All,80097,49.556541
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,VJ,All,48372,72.8897104
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,NT1,All,27089,85.4043578
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,NT2,All,36467,80.2656546
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,NT3,All,39928,78.1473584
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,OBC,All,30649,83.3246679
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,OPEN,Female,26549,85.6913808
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,SC,Female,29692,84.0382056
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,ST,Female,48168,72.8974176
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,VJ,Female,40479,77.9458986
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,NT2,Female,28122,84.8685155
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,OBC,Female,25800,86.1713847
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,PWD_OPEN,All,54377,69.1685966
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,DEF_OPEN,All,78548,51.2359011
2022,1002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,TFWS,All,18803,89.9192371
