year,college_code,college_name,branch_code,branch_name,college_status,stage,level,category,gender,cutoff_rank,percentile
2025,01002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,OPEN,All,31618,90.668828
2025,01002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,SC,All,53254,84.0359888
2025,01002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,NT1,All,49466,85.1919561
2025,01002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,SEBC,All,73539,77.161886
2025,01002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,SC,Female,41066,87.9159305
2025,01002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,SEBC,Female,91727,70.6189283
2025,01002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,OPEN,All,10017,97.1220006
2025,01002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,OBC,All,11290,96.7783105
2025,01002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,OPEN,All,13634,96.0780932
2025,01002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,VJ,All,26351,92.3341523
2025,01002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,NT2,All,23636,93.1055879
2025,01002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,OBC,All,14798,95.7536628
2025,01002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,OPEN,Female,12774,96.3424067
2025,01002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,OBC,Female,15087,95.6472486
2025,01002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,TFWS,All,14372,95.868115
2025,01002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,EWS,All,18334,94.7364547
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,OPEN,All,27004,92.0769231
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,SC,All,29152,91.4450061
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,SEBC,All,50107,85.0571556
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,OPEN,Female,24597,92.8376317
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,OBC,Female,26902,92.1231015
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,DEF_OPEN,All,64751,80.3531469
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,DEF_OBC,All,174647,26.7336064
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,EWS,All,71160,78.272232
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,VII,State Level,ORPHAN,All,27160,92.0737359
2025,01002,"Government College of Engineering, Amravati",37210,Electronics and Telecommunication Engg,Government Autonomous,I,State Level,OPEN,All,14271,95.918508
2025,01002,"Government College of Engineering, Amravati",37210,Electronics and Telecommunication Engg,Government Autonomous,I,State Level,ST,All,65065,80.0
2025,01002,"Government College of Engineering, Amravati",37210,Electronics and Telecommunication Engg,Government Autonomous,I,State Level,OBC,All,16933,95.1095384
2025,01002,"Government College of Engineering, Amravati",37210,Electronics and Telecommunication Engg,Government Autonomous,I,State Level,SEBC,All,33196,90.1729075
